comments_academia,freq
pública,4
setor,3
devem,3
brasil,3
exemplo,3
todo,3
estado,3
energia,2
sobr,2
leitura,2
açõ,2
mitigação,2
transport,2
meio,2
cooperação,2
lugar,2
plano,2
nacion,2
tema,2
município,2
sociedad,2
mundo,2
ser,2
desenvolvimento,2
ação,2
2050,1
investimento,1
toda,1
frota,1
carbon,1
concessõ,1
economi,1
atingir,1
low,1
algun,1
primeiro,1
segundo,1
produtor,1
agrícola,1
industriai,1
enfim,1
pode,1
emissõ,1
mitigar,1
atuação,1
deveria,1
estar,1
regulamentado,1
zero,1
aberta,1
biogá,1
licitação,1
considerar,1
escala,1
local,1
ant,1
dizer,1
fazer,1
preciso,1
conhec,1
biótico,1
abiótico,1
repleto,1
particularidad,1
somada,1
remetem,1
maneira,1
justa,1
espaciai,1
considero,1
carimbo,1
regulamentação,1
verd,1
ônibu,1
elétrico,1
informação,1
gá,1
natur,1
biocombustível,1
empresário,1
chamado,1
frent,1
governo,1
feder,1
diretiva,1
permit,1
sigam,1
comunicação,1
organizaçõ,1
canai,1
diária,1
população,1
relação,1
efeito,1
mudança,1
climática,1
vida,1
necessidad,1
programa,1
preservação,1
ambient,1
engajarem,1
adaptação,1
possui,1
requisito,1
conscientização,1
solar,1
criar,1
reciclagem,1
boa,1
prática,1
sustentabilidad,1
geral,1
escola,1
empresa,1
ii,1
eólica,1
uso,1
font,1
alternativa,1
renovável,1
biocombustívei,1
biomassa,1
assumir,1
liderança,1
ativa,1
sólida,1
política,1
convocar,1
civil,1
conjunta,1
estabelec,1
laço,1
i,1
eficient,1
internacionai,1
trabalham,1
sentido,1
pressionar,1
congresso,1
pens,1
formulação,1
opinião,1
estimular,1
acerca,1
debat,1
incentivar,1
internacion,1
quanto,1
interno,1
tanto,1
esforço,1
poupar,1
deve,1
servir,1
além,1
intrínseca,1
contribuição,1
equilibrada,1
