comments_implementation_means_setor empresarial,freq
recurso,6
direito,4
desenvolvimento,4
contribuição,4
próprio,4
país,4
brasil,3
outro,3
implementar,3
nacion,3
deve,3
questão,3
mudança,3
política,3
cidadão,3
açõ,2
devem,2
ser,2
atingiu,2
grau,2
clima,2
ond,2
8,2
suficient,2
financeiro,2
pagar,2
abrir,2
mão,2
financiamento,2
combat,2
internacion,2
expropriar,2
convenção,1
sob,1
alguma,1
realizada,1
medida,1
possível,1
esforço,1
adicionai,1
econômico,1
transferência,1
fim,1
dest,1
geraçõ,1
futura,1
potável,1
água,1
reserva,1
alimento,1
produtor,1
grand,1
pretensão,1
deverá,1
tecnologia,1
9,1
pobreza,1
erradicação,1
social,1
novo,1
prioridad,1
compromet,1
forma,1
acontec,1
desenvolvido,1
acordo,1
governo,1
toda,1
propriedad,1
violação,1
impor,1
voluntária,1
atravé,1
fazer,1
acredit,1
pessoa,1
qualquer,1
tipo,1
dess,1
pior,1
paguem,1
exigir,1
climática,1
aplicar,1
injustificada,1
tudo,1
efetivament,1
sendo,1
part,1
boa,1
brasileiro,1
acerto,1
necessidad,1
acert,1
saber,1
pode,1
organizado,1
sai,1
principalment,1
limit,1
estabelecendo,1
elaborado,1
bem,1
planeta,1
