comments_terceiro setor,freq
emissõ,12
meta,8
redução,7
período,6
ano,6
açõ,5
ser,5
economia,5
mitigação,4
efeito,4
tempo,4
mudança,4
nacionalment,3
área,3
compromisso,3
longo,3
grau,3
clima,3
setor,3
objetivo,3
atingir,3
brasil,3
gase,3
estufa,3
possível,2
impacto,2
todo,2
necessário,2
novo,2
celsiu,2
resultado,2
podem,2
possa,2
portanto,2
espaço,2
10,2
2,2
global,2
ipcc,2
definição,2
contribuição,2
2030,2
designada,2
aquecimento,2
limitação,2
relatório,2
avaliação,2
limit,2
globai,2
esforço,2
custo,2
negociação,2
ainda,2
nova,2
decorrência,2
país,2
termo,2
plano,2
nacion,2
sobr,2
caminho,2
significativa,2
início,2
perda,2
forma,2
setoriai,2
devem,2
paí,2
registro,1
contribuiçõ,1
incluída,1
important,1
detalhamento,1
outro,1
lado,1
cobrar,1
logo,1
fundament,1
determinada,1
futura,1
temporai,1
ant,1
daquel,1
pode,1
vigência,1
resultar,1
atraso,1
lacuna,1
começando,1
junto,1
talvez,1
ocorra,1
pressupõ,1
5,1
progredir,1
unfccc,1
duração,1
intermediária,1
rapidament,1
equilibrada,1
dentro,1
fez,1
muita,1
coisa,1
olhando,1
dimensão,1
problema,1
sociai,1
ambientai,1
poderá,1
parar,1
crescer,1
imaginativa,1
manutenção,1
pluralista,1
tanto,1
acreditamo,1
adequar,1
oportunidad,1
ampliação,1
verd,1
matriz,1
transport,1
avanço,1
agricultura,1
melhora,1
trajetória,1
assegur,1
âmbito,1
defina,1
mundial,1
observatório,1
considera,1
melhor,1
sendo,1
primeiro,1
1o,1
janeiro,1
2021,1
31,1
dezembro,1
recomenda,1
dar,1
etc,1
2025,1
mecanismo,1
permita,1
revisão,1
desta,1
luz,1
ciência,1
recent,1
trabalho,1
anális,1
específica,1
regionai,1
sustentação,1
pico,1
absoluta,1
vêm,1
acordo,1
deveria,1
atingido,1
2015,1
demai,1
energia,1
agropecuária,1
processo,1
industriai,1
resíduo,1
aumentando,1
aumento,1
deve,1
refletir,1
ambiciosa,1
pó,1
2020,1
possívei,1
adoção,1
medida,1
positivo,1
planeta,1
florest,1
cobertura,1
líquida,1
eliminação,1
fato,1
reduziu,1
último,1
principalment,1
associada,1
desmatamento,1
amazônia,1
entanto,1
apesar,1
inferior,1
taxa,1
anterior,1
floresta,1
nativa,1
maior,1
emissor,1
uso,1
solo,1
além,1
disso,1
possui,1
benefício,1
eficiência,1
meio,1
necessária,1
precisam,1
atual,1
máximo,1
próximo,1
seguida,1
seguir,1
reduçõ,1
progressiva,1
acelerado,1
viabilizar,1
evitar,1
diferent,1
ultrapass,1
doi,1
comprometam,1
conjunto,1
quantificávei,1
absoluto,1
total,1
tonelada,1
co2eq,1
política,1
naçõ,1
coordenado,1
coletivo,1
grand,1
geração,1
emprego,1
relacionado,1
tecnologia,1
limpa,1
gerada,1
poderiam,1
provocado,1
climática,1
inação,1
superior,1
investir,1
alguma,1
opçõ,1
ter,1
abatimento,1
negativo,1
modalidad,1
mensagem,1
5o,1
taxativa,1
urbana,1
