criteria_assumptions_principles_academia,freq
climática,6
país,5
mudança,4
sobr,3
outro,3
conhecimento,3
brasil,3
lugar,2
local,2
ativa,2
educação,2
ação,2
dinheiro,2
internacion,2
todo,2
dinâmica,2
ter,2
área,2
independent,2
redd,2
postura,2
pode,2
entend,2
estar,2
estabelec,1
diretr,1
possível,1
contexto,1
distinto,1
avaliar,1
prévio,1
geográfica,1
justament,1
consist,1
lo,1
escala,1
princípio,1
complexidad,1
manter,1
cooperação,1
mitigação,1
adaptação,1
iii,1
avanço,1
avaliaçõ,1
implementação,1
alternativa,1
floresta,1
dinâmico,1
pé,1
ganhar,1
sequestrar,1
carbono,1
falando,1
clima,1
sistema,1
natur,1
part,1
ant,1
cada,1
inversão,1
global,1
devem,1
frent,1
compromisso,1
brasileiro,1
dito,1
ficarei,1
honrada,1
ajudar,1
geógrafa,1
climatologista,1
certeza,1
criatividad,1
incentivo,1
produção,1
podemo,1
economizar,1
tempo,1
afin,1
indo,1
sentido,1
único,1
fazer,1
singular,1
particular,1
linha,1
mitigar,1
adaptar,1
preciso,1
conhec,1
vamo,1
oportunizar,1
estudo,1
pesquisa,1
locai,1
então,1
consolidar,1
maneira,1
sistemática,1
metódica,1
dado,1
possam,1
base,1
permit,1
tecnologia,1
capacidad,1
moroso,1
acredito,1
paí,1
tamanho,1
ser,1
grand,1
emissor,1
mostrado,1
liderança,1
tornar,1
ambient,1
deve,1
agenda,1
propositiva,1
comprometimento,1
convenção,1
risco,1
real,1
processo,1
contribui,1
ficar,1
22,1
comun,1
porém,1
diferenciada,1
ilegítimo,1
ponto,1
vista,1
ético,1
todavia,1
ano,1
demai,1
negociação,1
âmbito,1
unfccc,1
deixou,1
claro,1
consenso,1
utópico,1
condicionar,1
urgent,1
refém,1
transferência,1
i,1
perecerá,1
poi,1
restringem,1
sim,1
globo,1
contribuiçõ,1
podem,1
direcionada,1
métrica,1
mundo,1
comum,1
responsabilidad,1
efetiva,1
comparação,1
redução,1
emissõ,1
ii,1
patent,1
inteiro,1
produtivo,1
jogo,1
questõ,1
político,1
ademai,1
servir,1
fragilizar,1
reticent,1
quanto,1
necessidad,1
agir,1
política,1
modo,1
internacionai,1
precisam,1
voltar,1
olho,1
mundial,1
caso,1
realizada,1
alteraçõ,1
significa,1
