criteria_assumptions_principles_setor empresarial,freq
dess,4
energia,4
tipo,3
populaçõ,3
estar,2
cada,2
pode,2
vez,2
país,2
custo,2
política,2
única,1
proveitamento,1
solar,1
biomassa,1
ideia,1
devemo,1
abandonar,1
buscar,1
emissõ,1
relativa,1
nacion,1
parqu,1
politica,1
planejar,1
eolico,1
desd,1
ampliacao,1
manter,1
gee,1
balanco,1
melhor,1
resilient,1
produtivo,1
sistema,1
priorizando,1
paí,1
perda,1
revolução,1
responsabilidad,1
interna,1
avaliação,1
comitê,1
resultado,1
publicidad,1
fiscalização,1
interno,1
critério,1
soberania,1
dia,1
aumenta,1
parcela,1
industri,1
iminent,1
problema,1
produtiva,1
discussõ,1
estudo,1
concentrando,1
poderíamo,1
tempo,1
produçao,1
enorm,1
esforço,1
agricola,1
finaciamento,1
solo,1
preço,1
font,1
utilizem,1
pobr,1
impor,1
exemplo,1
dessa,1
vida,1
qualidad,1
ganho,1
imped,1
alimento,1
impacto,1
significativament,1
renda,1
baixa,1
nefasto,1
particularment,1
eficácia,1
pouca,1
alto,1
denunciar,1
acordo,1
fazer,1
válida,1
renovávei,1
cara,1
uso,1
sensata,1
relacionada,1
economica,1
atividad,1
contribuição,1
criteiro,1
revisao,1
pesadelo,1
indivíduo,1
bem,1
progresso,1
preocupada,1
pessoa,1
reduzir,1
qualquer,1
sonho,1
próximo,1
cenário,1
caverna,1
volta,1
desejam,1
ambientalista,1
grupo,1
elétrica,1
acesso,1
externa,1
