criteria_assumptions_principles_setor publico,freq
setor,8
país,7
atividad,5
forma,4
brasil,4
idem,4
econômica,4
desenvolvido,3
pode,3
contribuição,3
ser,3
energia,3
desenvolvimento,3
pessoa,2
área,2
economia,2
muita,2
terciário,2
veze,2
liderança,2
impacto,2
ambient,2
produto,2
solar,2
possuem,2
todo,2
bicicleta,2
custo,2
painéi,2
redução,2
2020,2
mudança,2
deve,2
mitigação,2
população,1
especialment,1
p,1
d,1
informática,1
necessário,1
principai,1
modo,1
tal,1
relação,1
pib,1
elevarão,1
dest,1
financeiro,1
novament,1
pobr,1
diluir,1
vivemo,1
geopolítico,1
momento,1
novo,1
decisiva,1
nova,1
despontar,1
quai,1
dentr,1
sul,1
internacion,1
cooperação,1
carbono,1
possível,1
vez,1
preço,1
equilibrada,1
apena,1
intangívei,1
assim,1
avaliação,1
focado,1
ficarem,1
deverá,1
viávei,1
climática,1
ponderar,1
riqueza,1
produzida,1
quantidad,1
empregada,1
produzem,1
intelectuai,1
poi,1
reduzido,1
part,1
direto,1
então,1
poderão,1
deixar,1
desta,1
tecnológico,1
avanço,1
mediant,1
economicament,1
secundário,1
primário,1
liberada,1
emissõ,1
elétrica,1
fazer,1
precisamo,1
agricultura,1
exemplo,1
incluída,1
eventuai,1
meta,1
internacionai,1
fez,1
melhorar,1
potenci,1
comunicação,1
fiqu,1
evident,1
exigir,1
maior,1
compromisso,1
gase,1
comerci,1
afetando,1
estufa,1
reconhecimento,1
global,1
clima,1
ano,1
devidament,1
reconhecida,1
unfccc,1
recompensada,1
esforço,1
possivelment,1
nacionai,1
lulucf,1
implicar,1
séria,1
consequência,1
financeira,1
paí,1
efeito,1
apoiar,1
precisa,1
elétrico,1
geração,1
renovável,1
eólica,1
aquecimento,1
água,1
veículo,1
híbrido,1
brasileira,1
incident,1
sistema,1
transport,1
público,1
movido,1
eletricidad,1
independent,1
outro,1
sobr,1
municip,1
processo,1
reflitam,1
sustentávei,1
responsabilidad,1
comun,1
porém,1
diferenciada,1
busca,1
métrica,1
princípio,1
estadu,1
poluidor,1
pagador,1
posição,1
reduzir,1
taxação,1
tributária,1
feder,1
impactada,1
